fandoms,work_count
Cowboy Bebop (Anime) | Avatar: The Last Airbender | Avatar: Legend of Korra | Ouran High School Host Club - All Media Types | Death Note (Anime & Manga) | Kuroshitsuji | Black Butler | Hetalia: Axis Powers | Fullmetal Alchemist - All Media Types | Ao no Exorcist | Blue Exorcist | Hunter X Hunter | Kuroko no Basuke | Kuroko's Basketball | Shingeki no Kyojin | Attack on Titan | Dangan Ronpa - All Media Types | Free! | Kill la Kill (Anime & Manga) | Haikyuu!! | Assassination Classroom | 食戟のソーマ | Food Wars! Shokugeki no Soma | ワンパンマン | One-Punch Man | 僕だけがいない街 | Boku dake ga Inai Machi | ERASED (Anime & Manga) | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | モブサイコ100 | Mob Psycho 100 | Yuri!!! on Ice (Anime) | 私がモテてどうすんだ | Watashi ga Motete Dousunda | Kiss Him Not Me | 斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K. | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | 王室教師ハイネ | Oushitsu Kyoushi Haine | The Royal Tutor (Anime) | 賭ケグルイ | Kakegurui (Anime & Manga) | はたらく細胞 | Hataraku Saibou | Cells at Work! (Anime) | 約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Anime) | かぐや様は告らせたい | Kaguya-sama wa Kokurasetai | Kaguya-sama: Love Is War (Anime) | Fruits Basket (Anime 2019) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Multi-Fandom,2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Kimetsu no Yaiba (Manga) | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime),2
鬼滅の刃 | Kimetsu no Yaiba (Anime) | 鬼滅の刃 | Kimetsu no Yaiba (Manga),2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | Chainsaw Man (Manga) | Chainsaw Man (Anime),2
Batman - All Media Types | Shingeki no Kyojin | Attack on Titan,2
僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | 鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime) | Haikyuu!! | Kuroko no Basuke | Kuroko's Basketball | Shingeki no Kyojin | Attack on Titan | 食戟のソーマ | Food Wars! Shokugeki no Soma | Tokyo Ghoul | Black Clover - Tabata Yuki (Anime & Manga) | 文豪ストレイドッグス | Bungou Stray Dogs | 呪術廻戦 | Jujutsu Kaisen (Anime) | 斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K. | Free! | SK8 the Infinity (Anime) | Shall We Date?: Obey Me! | 明日方舟 | Arknights (Video Game) | ヤリチン☆ビッチ部 | Yarichin Bitch Club | 東京卍リベンジャーズ | Tokyo Revengers (Anime) | 灼熱カバディ | Shakunetsu Kabaddi | Burning Kabaddi (Anime) | ワンパンマン | One-Punch Man | 原神 | Genshin Impact (Video Game) | ヒプノシスマイク | Hypnosis Mic (Albums) | Encanto (2021) | 战双帕弥什 | Punishing: Gray Raven | Arcane: League of Legends (Cartoon 2021) | 富豪刑事 Balance:UNLIMITED | Fugou Keiji: Balance:Unlimited (Anime) | Luxiem - Fandom | Nijisanji EN | Twisted-Wonderland (Video Game) | Biohazard | Resident Evil (Gameverse) | Resident Evil (TV 2022) | Leon Kennedy - Fandom,2
小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | RWBY | Parahumans Series - Wildbow | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types | Overlord - Maruyama Kugane & Related Fandoms | DCU | Wonder Woman - All Media Types | Pocket Monsters | Pokemon - All Media Types | Shingeki no Kyojin | Attack on Titan | Fire Emblem: If | Fire Emblem: Fates | Highschool DxD (Anime) | Overwatch (Video Game) | Avatar: The Last Airbender | Hololive (Virtual Streamers) | Star vs. the Forces of Evil | 呪術廻戦 | Jujutsu Kaisen (Manga) | Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,2
鬼滅の刃 | Kimetsu no Yaiba (Manga),2
Overlord (MADHOUSE Anime) | Chainsaw Man (Manga) | Yu-Gi-Oh! Duel Monsters (Anime & Manga) | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | 陰の実力者になりたくて！ | The Eminence in Shadow (Anime) | 月が導く異世界道中 | Tsuki ga Michibiku Isekai Douchuu (Manga) | 呪術廻戦 | Jujutsu Kaisen (Anime) | Fate/stay night & Related Fandoms | Bleach (Anime & Manga) | ありふれた職業で世界最強 | Arifureta: From Commonplace to World's Strongest (Anime) | ワンパンマン | One-Punch Man | ようこそ実力至上主義の教室へ | Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e | Classroom of the Elite (Anime) | Undertale (Video Game) | 原神 | Genshin Impact (Video Game) | 蜘蛛ですが なにか? | Kumo desu ga Nani ka | So I'm a Spider So What? - Okina Baba | Elden Ring (Video Game) | Ben 10 Series | Re:ゼロから始める異世界生活 | Re:Zero Starting Life in Another World (Anime) | Hololive (Virtual Streamers) | SPY x FAMILY (Anime) | 無職転生 ～異世界行ったら本気だす～ | Mushoku Tensei: Isekai Ittara Honki Dasu | Jobless Reincarnation (Anime) | 盾の勇者の成り上がり - アネコユサギ | Tate no Yuusha no Nariagari | The Rising of the Shield Hero - Aneko Yusagi | 小林さんちのメイドラゴン | Kobayashi-san Chi no Maid Dragon | Miss Kobayashi's Dragon Maid | この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! (Anime & Manga) | Goblin Slayer (Anime) | 幼女戦記 | Youjo Senki | Saga of Tanya the Evil (Anime) | Shingeki no Kyojin | Attack on Titan | Akame ga Kill! (Anime & Manga),2
Harry Potter - J. K. Rowling | Naruto,2
RWBY | 僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga) | Total Drama (Cartoon) | Steven Universe (Cartoon) | One Piece (Anime & Manga) | Helltaker (Video Game) | Persona Series | Highschool DxD (Anime) | She-Ra and the Princesses of Power (2018) | Pocket Monsters | Pokemon - All Media Types | Monster Girl Encyclopedia | Helluva Boss (Web Series) | Rick and Morty | Dangan Ronpa Series | Overlord (MADHOUSE Anime) | League of Legends | Amphibia (Cartoon) | Dragon Age - All Media Types | Yu-Gi-Oh! Duel Monsters (Anime & Manga) | Adventure Time (Cartoon 2010) | DCU | 碧蓝航线 | Azur Lane (Video Game) | Ben 10 Series | Avatar: The Last Airbender (Cartoon 2005) | Biohazard | Resident Evil (Gameverse) | Five Nights at Freddy's | Sekirei (Anime & Manga) | Limbus Company (Video Game) | Stardew Valley (Video Game) | 逆転裁判 | Gyakuten Saiban | Ace Attorney | Hollow Knight (Video Games) | Fate/stay night & Related Fandoms | Marvel | Mortal Kombat - All Media Types | Danny Phantom | My Little Pony | Shingeki no Kyojin | Attack on Titan | Atomic Heart (Video Game) | Metroid Series | Super Mario & Related Fandoms | 葬送のフリーレン | Sousou no Frieren | Frieren: Beyond Journey's End (Manga) | 니케: 승리의 여신 | Goddess of Victory: Nikke (Video Game) | Star vs. the Forces of Evil | Subverse (Video Game) | ニセコイ | Nisekoi: False Love | Fallout (Video Games) | Totally Spies | Foster's Home For Imaginary Friends | Borderlands (Video Games) | Blue Eye Samurai (Cartoon) | Splatoon (Video Games) | Library of Ruina (Video Game) | Scooby Doo - All Media Types | Little Witch Academia | Scary Godmother (Movies) | Kindergarten (Video Games 2017 2019) | Dead by Daylight (Video Game) | Poppy Playtime (Video Game) | Mouthwashing (Video Game) | Maken-Ki! | Murder Drones (Web Series) | KPop Demon Hunters (2025) | 中二病でも恋がしたい! | Chuunibyou demo Koi ga Shitai! | Love Chunibyo and Other Delusions! (Anime) | 七つの大罪 - 鈴木央 | Nanatsu no Taizai | The Seven Deadly Sins - Suzuki Nakaba (Anime & Manga) | Hazbin Hotel (Cartoon) | Elfen Lied | Dispatch (Video Game) | Zenless Zone Zero (Video Game) | 転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse | Archer (Cartoon) | Monster Girl Quest | Monster Hunter (Video Games),2
